Username,Comment,Cleaning
@yusufefendi2642,Lah kok anaknya gak ikut bertarung  pilpres .. lemah,lah kok anaknya gak ikut bertarung pilpres lemah
@oryzahamstersumenep3624,Dia udah gak layak emang 😂 waktunya pensiun,dia udah gak layak emang waktunya pensiun
@artisbokep9450,"joe biden adalah salah satu dari 2 president terburuk Amerika hingga saat ini,mungkin karena tidak ingin menjadi yang pertama,dan agak susah turun peringkat 3 lebih baik mundur ya pak😂",joe biden adalah salah satu dari president terburuk amerika hingga saat inimungkin karena tidak ingin menjadi yang pertamadan agak susah turun peringkat lebih baik mundur ya pak
@Davidnur418,Hillary Clinton aja kalah apalagi Kamala Harris,hillary clinton aja kalah apalagi kamala harris
@user-zz5gb9di6g,Habis mundur trs sakit trs modar😂,habis mundur trs sakit trs modar
@muhammadharits3237,Sekarang waktunya Kamala Harris 🙏🙏🙏👍👍🙂🙂,sekarang waktunya kamala harris
@muhammadharits3237,Sejahat jahatnya Biden msh lebih jahat Trump !!!,sejahat jahatnya biden msh lebih jahat trump
@AhmadKhoerudin-n7s,Kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya,kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya
@nengsarah2838,haha,haha
@gemalacahayapurnamashanty1443,Trump vs Kamala bakal seru.. tapi najong amat gue dukung Kamala,trump vs kamala bakal seru tapi najong amat gue dukung kamala
@gemalacahayapurnamashanty1443,Not in a million i will support Kamala,not in a million i will support kamala
@genx9422,Trump temannya Putin.. AS &amp; Rusia bersahabat,trump temannya putin as rusia bersahabat
@apendifa9047,"Biden mau pun trum,sama saja pengacau dunia.",biden mau pun trumsama saja pengacau dunia
@AL0001,"SIap2 dollar,Bitcoin,alt coin,saham Amerika bakal naik",siap2 dollarbitcoinalt coinsaham amerika bakal naik
@Squadfrent,dua duanya nya tua bangka penjahat perang genosida bagi palestina 😡,dua duanya nya tua bangka penjahat perang genosida bagi palestina
@rikosyafriadi7246,Di konoha manusia gorong2 ga sadar diri muka tembok,di konoha manusia gorong2 ga sadar diri muka tembok
@user-ld1fx2yp4x,Takut mau di tembak kayak trump mungkin..😅😅😅,takut mau di tembak kayak trump mungkin
@aru9138,Bersyukur,bersyukur
@EmperorArcanine89,Salah sendiri terlalu jompo wkwkwk,salah sendiri terlalu jompo wkwkwk
@user-jq7ro6xs2n,Michelle Obama atau Bernie Sanders dua&quot;nya sih tokoh bagus juga tokoh alternatif ada Yang Gang.,michelle obama atau bernie sanders duanya sih tokoh bagus juga tokoh alternatif ada yang gang
@andysignergy,"Lagian robot ko bisa jadi presiden, 😂😂",lagian robot ko bisa jadi presiden
