Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi
2024-07-23T14:20:40Z,@yusufefendi2642,FE4iq7BzZAA,Lah kok anaknya gak ikut bertarung  pilpres .. lemah,2024-07-23T14:20:40Z,lah kok anaknya gak ikut bertarung pilpres lemah,lah kok anaknya tidak ikut bertarung pilpres lemah
2024-07-23T09:59:54Z,@oryzahamstersumenep3624,FE4iq7BzZAA,Dia udah gak layak emang 😂 waktunya pensiun,2024-07-23T09:59:54Z,dia udah gak layak emang waktunya pensiun,dia sudah tidak layak memang waktunya pensiun
2024-07-23T06:02:06Z,@artisbokep9450,FE4iq7BzZAA,"joe biden adalah salah satu dari 2 president terburuk Amerika hingga saat ini,mungkin karena tidak ingin menjadi yang pertama,dan agak susah turun peringkat 3 lebih baik mundur ya pak😂",2024-07-23T06:02:06Z,joe biden adalah salah satu dari president terburuk amerika hingga saat inimungkin karena tidak ingin menjadi yang pertamadan agak susah turun peringkat lebih baik mundur ya pak,joe biden adalah salah satu dari president terburuk amerika hingga saat inimungkin karena tidak ingin menjadi yang pertamadan agak susah turun peringkat lebih baik mundur ya pak
2024-07-23T02:45:53Z,@Davidnur418,FE4iq7BzZAA,Hillary Clinton aja kalah apalagi Kamala Harris,2024-07-23T02:45:53Z,hillary clinton aja kalah apalagi kamala harris,hillary clinton saja kalah apalagi kamala harris
2024-07-23T00:38:02Z,@user-zz5gb9di6g,FE4iq7BzZAA,Habis mundur trs sakit trs modar😂,2024-07-23T00:38:02Z,habis mundur trs sakit trs modar,habis mundur terus sakit terus modar
2024-07-22T23:57:57Z,@muhammadharits3237,FE4iq7BzZAA,Sekarang waktunya Kamala Harris 🙏🙏🙏👍👍🙂🙂,2024-07-22T23:57:57Z,sekarang waktunya kamala harris,sekarang waktunya kamala harris
2024-07-22T23:56:49Z,@muhammadharits3237,FE4iq7BzZAA,Sejahat jahatnya Biden msh lebih jahat Trump !!!,2024-07-22T23:56:49Z,sejahat jahatnya biden msh lebih jahat trump,sejahat jahatnya biden masih lebih jahat trump
2024-07-22T23:45:10Z,@AhmadKhoerudin-n7s,FE4iq7BzZAA,Kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya,2024-07-22T23:45:10Z,kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya,kalau mencalonkan pagi juga rakyatnya tidak akan memilihnya
2024-07-22T19:08:41Z,@nengsarah2838,FE4iq7BzZAA,haha,2024-07-22T19:08:41Z,haha,haha
2024-07-22T18:57:36Z,@gemalacahayapurnamashanty1443,FE4iq7BzZAA,Trump vs Kamala bakal seru.. tapi najong amat gue dukung Kamala,2024-07-22T18:57:36Z,trump vs kamala bakal seru tapi najong amat gue dukung kamala,trump vs kamala bakal seru tapi najong amat gue dukung kamala
2024-07-22T18:56:34Z,@gemalacahayapurnamashanty1443,FE4iq7BzZAA,Not in a million i will support Kamala,2024-07-22T18:56:34Z,not in a million i will support kamala,not ini a million i will support kamala
2024-07-22T17:24:08Z,@genx9422,FE4iq7BzZAA,Trump temannya Putin.. AS &amp; Rusia bersahabat,2024-07-22T17:24:08Z,trump temannya putin as rusia bersahabat,trump temannya putin as rusia bersahabat
2024-07-22T16:44:10Z,@apendifa9047,FE4iq7BzZAA,"Biden mau pun trum,sama saja pengacau dunia.",2024-07-22T16:44:10Z,biden mau pun trumsama saja pengacau dunia,biden mau pun trumsama saja pengacau dunia
2024-07-22T15:35:31Z,@AL0001,FE4iq7BzZAA,"SIap2 dollar,Bitcoin,alt coin,saham Amerika bakal naik",2024-07-22T15:35:31Z,siap2 dollarbitcoinalt coinsaham amerika bakal naik,siap2 dollarbitcoinalt coinsaham amerika bakal naik
2024-07-22T14:26:12Z,@Squadfrent,FE4iq7BzZAA,dua duanya nya tua bangka penjahat perang genosida bagi palestina 😡,2024-07-22T14:26:12Z,dua duanya nya tua bangka penjahat perang genosida bagi palestina,dua duanya ya tua bangka penjahat perang genosida bagi palestina
2024-07-22T14:09:12Z,@rikosyafriadi7246,FE4iq7BzZAA,Di konoha manusia gorong2 ga sadar diri muka tembok,2024-07-22T14:09:12Z,di konoha manusia gorong2 ga sadar diri muka tembok,di konoha manusia gorong2 tidak sadar diri muka tembok
2024-07-22T13:23:46Z,@user-ld1fx2yp4x,FE4iq7BzZAA,Takut mau di tembak kayak trump mungkin..😅😅😅,2024-07-22T13:23:46Z,takut mau di tembak kayak trump mungkin,takut mau di tembak kayak trump mungkin
2024-07-22T12:53:10Z,@aru9138,FE4iq7BzZAA,Bersyukur,2024-07-22T12:53:10Z,bersyukur,bersyukur
2024-07-22T12:46:29Z,@EmperorArcanine89,FE4iq7BzZAA,Salah sendiri terlalu jompo wkwkwk,2024-07-22T12:46:29Z,salah sendiri terlalu jompo wkwkwk,salah sendiri terlalu jompo wkwkwk
2024-07-22T12:15:40Z,@user-jq7ro6xs2n,FE4iq7BzZAA,Michelle Obama atau Bernie Sanders dua&quot;nya sih tokoh bagus juga tokoh alternatif ada Yang Gang.,2024-07-22T12:17:12Z,michelle obama atau bernie sanders duanya sih tokoh bagus juga tokoh alternatif ada yang gang,michelle obama atau bernie sanders duanya sih tokoh bagus juga tokoh alternatif ada yang gang
2024-07-22T12:03:44Z,@andysignergy,FE4iq7BzZAA,"Lagian robot ko bisa jadi presiden, 😂😂",2024-07-22T12:03:44Z,lagian robot ko bisa jadi presiden,lagian robot kok bisa jadi presiden
2024-07-22T11:50:39Z,@panjiprakoso-zk8kp,FE4iq7BzZAA,Lah auto terpilih dong trump,2024-07-22T11:50:39Z,lah auto terpilih dong trump,lah auto terpilih dong trump
2024-07-22T11:28:41Z,@mikhaelantonio9410,FE4iq7BzZAA,81 tahun masih nyalon edan sih😅,2024-07-22T11:28:41Z,tahun masih nyalon edan sih,tahun masih nyalon edan sih
2024-07-22T11:19:00Z,@andikchristian5834,FE4iq7BzZAA,"Taktik Demokrat nyuruh Biden mundur karena sudah no hope. <br>Justru Trump deg2an sekarang, mungkinkah pengganti Biden akan mempersulit dia.",2024-07-22T11:19:00Z,taktik demokrat nyuruh biden mundur karena sudah no hope justru trump deg2an sekarang mungkinkah pengganti biden akan mempersulit dia,taktik demokrat nyuruh biden mundur karena sudah no hope justru trump deg-degan sekarang mungkinkah pengganti biden akan mempersulit dia
2024-07-22T10:28:10Z,@YadihindraYadi,FE4iq7BzZAA,😂😂😂😅,2024-07-22T10:28:10Z,,
2024-07-22T10:25:59Z,@AgusSalim-fk1jd,FE4iq7BzZAA,"Elit politik yg punya moral, tidak haus kekuasaan 👍",2024-07-22T10:25:59Z,elit politik yg punya moral tidak haus kekuasaan,elit politik yang punya moral tidak haus kekuasaan
2024-07-22T10:10:24Z,@aliefr.p.official5203,FE4iq7BzZAA,TRump VS Cewek,2024-07-22T10:10:24Z,trump vs cewek,trump vs cewek
2024-07-22T09:59:43Z,@kanjiroohimamoto5684,FE4iq7BzZAA,"Padahal gua ngedukung si biden, biar makin ancur amerika klo biden jdi presiden 😂😂",2024-07-22T09:59:43Z,padahal gua ngedukung si biden biar makin ancur amerika klo biden jdi presiden,padahal gua mendukung sih biden biar makin hancur amerika kalau biden jadi presiden
2024-07-22T09:53:15Z,@suwandawanda1412,FE4iq7BzZAA,Alhamdulillah gak ada yang abadi di dunia ini semoga cepat bertemu malaikat Izrail ya 🇮🇩🇵🇸,2024-07-22T09:53:15Z,alhamdulillah gak ada yang abadi di dunia ini semoga cepat bertemu malaikat izrail ya,alhamdulillah tidak ada yang abadi di dunia ini semoga cepat bertemu malaikat izrail ya
